id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
solarbeam,Solarbeam,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/solarbeam.jpg,A,trades,true,2021-09-01T00:00:00Z,2021-09-01T00:00:00Z,2021-11-09T00:00:00Z,164,391,2022-04-15T14:28:30Z,,68,0.3128,false,true,1123321.13,-357288.14,-0.2413,4400,-697,-0.1367,1123321.13,-357288.14,-0.2413,,,,,https://solarbeam.io
redot,Redot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/redot.png,A+,trades,true,2020-05-07T00:00:00Z,2020-05-07T00:00:00Z,2020-09-23T00:00:00Z,10,2,2022-04-15T14:40:20.32Z,,69,0.2684,true,false,1089840.14,-296022.50,-0.2136,10261,-1085,-0.0956,1089840.14,-296022.50,-0.2136,,,,Estonia,https://redot.com/
energiswap,Energiswap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/energiswap.png,A,trades,true,2021-02-26T00:00:00Z,2021-02-26T00:00:00Z,2022-03-02T00:00:00Z,24,197,2022-04-15T14:21:09Z,,70,0.1555,false,true,1037196.15,-433480.20,-0.2947,743,-266,-0.2636,1037196.15,-433480.20,-0.2947,,,,British Virgin Islands,https://www.energiswap.exchange
zipswap,ZipSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/zipswap.png,A,trades,true,2021-12-17T00:00:00Z,2021-12-17T00:00:00Z,2022-03-01T00:00:00Z,9,12,2022-04-15T14:28:17Z,,71,0.1430,false,true,1027378.31,-2291615.11,-0.6905,64,-211,-0.7673,1027378.31,-2291615.11,-0.6905,,,,,https://zipswap.fi/
benswap,BenSwap (SmartBCH),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/benswap.jpg,A,trades,true,2021-08-17T00:00:00Z,2021-08-17T00:00:00Z,2022-03-09T00:00:00Z,12,350,2022-04-15T14:34:53Z,,72,0.2599,false,true,964846.82,452950.34,0.8848,121,-139,-0.5346,964846.82,452950.34,0.8848,,,,,https://benswap.cash
beamswap,Beamswap,https://pbs.twimg.com/profile_images/1455137707924013061/T0wBtdfX_400x400.jpg,A,trades,true,2022-01-16T00:00:00Z,2022-01-16T00:00:00Z,2022-04-04T00:00:00Z,16,58,2022-04-15T14:34:18Z,,73,0.2338,false,true,895335.95,-1017908.07,-0.5320,1517,-856,-0.3607,895335.95,-1017908.07,-0.5320,,,,,https://app.beamswap.io/exchange/swap
binance_dex,Binance DEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/binance_dex.png,A,trades,true,2019-04-25T00:00:00Z,2019-04-25T00:00:00Z,2019-07-26T00:00:00Z,164,0,2022-04-15T14:39:03.029Z,,74,0.4960,false,true,838155.91,-206458.63,-0.1976,3653,-563,-0.1335,838155.91,-206458.63,-0.1976,,,,Malta,https://www.binance.org/
oolongswap,OolongSwap,https://pbs.twimg.com/profile_images/1454852805831925761/VW-JeUQH_400x400.jpg,A,trades,true,2021-11-03T00:00:00Z,2021-11-03T00:00:00Z,2022-04-08T00:00:00Z,9,87,2022-04-15T14:31:37Z,,75,0.2255,false,true,785231.97,-910236.31,-0.5369,383,-571,-0.5985,785231.97,-910236.31,-0.5369,,,,,https://oolongswap.com/
cherryswap,CherrySwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/cherryswap.png,A,trades,true,2021-07-27T00:00:00Z,2021-07-27T00:00:00Z,2021-10-27T00:00:00Z,221,2698,2022-04-15T14:39:53Z,,76,0.3045,false,true,778313.32,-31166.61,-0.0385,5840,-324,-0.0526,778313.32,-31166.61,-0.0385,,,,,https://www.cherryswap.net/
darkknight,Dark Knight,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/darkknight.svg,A,trades,true,2021-11-26T00:00:00Z,2021-11-26T00:00:00Z,2022-02-28T00:00:00Z,27,52,2022-04-15T14:39:24Z,,77,0.2856,false,true,752678.47,-594705.44,-0.4414,2585,52,0.0205,752678.47,-594705.44,-0.4414,,,,,https://dark.knightswap.financial
ubeswap,Ubeswap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/ubeswap.png,A,trades,true,2021-02-23T00:00:00Z,2021-02-23T00:00:00Z,2021-10-27T00:00:00Z,137,483,2022-04-15T14:40:01Z,,78,0.2784,false,true,712700.93,-151459.59,-0.1753,7515,97,0.0131,712700.93,-151459.59,-0.1753,,,,,https://ubeswap.org
protofi,ProtoFi Exchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/protofi.jpg,A,trades,true,2022-01-18T00:00:00Z,2022-01-18T00:00:00Z,2022-02-28T00:00:00Z,19,35,2022-04-15T14:39:57Z,,79,0.1631,false,true,695429.03,143593.74,0.2602,2857,432,0.1781,695429.03,143593.74,0.2602,,,,,https://fantomdex.protofi.app/
apeswap_polygon,ApeSwap (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/apeswap_polygon.png,A,trades,true,2021-06-03T00:00:00Z,2021-06-03T00:00:00Z,2021-10-27T00:00:00Z,249,595,2022-04-15T14:38:54Z,,80,0.4336,false,true,668516.28,-259144.37,-0.2794,5086,-739,-0.1269,668516.28,-259144.37,-0.2794,,,,,https://apeswap.finance
muesliswap_milkada,MuesliSwap (milkADA),https://pbs.twimg.com/profile_images/1512083932900036611/QV_F1CK1_400x400.jpg,A,trades,true,2022-03-28T00:00:00Z,2022-03-28T00:00:00Z,2022-04-12T00:00:00Z,18,48,2022-04-15T14:40:13Z,,81,0.3064,false,true,647790.33,142519.62,0.2821,1284,7,0.0055,647790.33,142519.62,0.2821,,,,,https://milkomeda.muesliswap.com/swap
viperswap,ViperSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/viperswap.png,A,trades,true,2021-03-08T00:00:00Z,2021-03-08T00:00:00Z,2021-10-27T00:00:00Z,324,3146,2022-04-15T14:38:55Z,,82,0.3058,false,true,631331.53,-311637.98,-0.3305,8080,-2277,-0.2199,631331.53,-311637.98,-0.3305,,,,,https://viper.exchange/
bakeryswap,BakerySwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/bakeryswap.jpg,A,trades,true,2020-09-14T00:00:00Z,2020-09-14T00:00:00Z,2022-03-17T00:00:00Z,688,1761,2022-04-15T14:33:09Z,,83,0.4255,false,true,627008.62,-215680.69,-0.2559,1362,-507,-0.2713,627008.62,-215680.69,-0.2559,,,,,https://www.bakeryswap.org/
therocktrading,The Rock Trading,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/therocktrading.png,A,trades,true,2011-11-09T00:00:00Z,2011-11-09T00:00:00Z,2020-04-04T00:00:00Z,30,1,2022-04-15T14:37:02.599Z,EUR;GBP,84,0.3931,true,false,577142.99,62559.21,0.1216,2082,-183,-0.0808,577142.99,62559.21,0.1216,,,,Italy,https://therocktrading.com/
dfyn_polygon,Dfyn (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/dfyn_polygon.png,A,trades,true,2020-10-07T00:00:00Z,2020-10-07T00:00:00Z,2021-11-08T00:00:00Z,546,973,2022-04-15T14:39:12Z,,85,0.3146,false,true,550352.37,-169498.71,-0.2355,4466,-1673,-0.2725,550352.37,-169498.71,-0.2355,,,,,https://www.dfyn.network
tetuswap,TetuSwap,https://pbs.twimg.com/profile_images/1478040475420352517/XZdZhhl2_400x400.jpg,A,trades,true,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z,2022-04-11T00:00:00Z,26,2,2022-04-15T14:32:26Z,,86,0.1472,false,true,496774.45,216416.60,0.7719,1741,581,0.5009,496774.45,216416.60,0.7719,,,,,https://swap.tetu.io/#/swap
milkyswap,MilkySwap,https://pbs.twimg.com/profile_images/1488767131843969024/zf_tLKSV_400x400.jpg,A,trades,true,2022-03-28T00:00:00Z,2022-03-28T00:00:00Z,2022-04-02T00:00:00Z,8,2152,2022-04-15T14:40:45Z,,87,0.2388,false,true,430513.85,-85417.94,-0.1656,2012,-189,-0.0859,430513.85,-85417.94,-0.1656,,,,,https://www.milkyswap.exchange/swap
stellaswap,StellaSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/stellaswap.jpg,A,trades,true,2022-01-11T00:00:00Z,2022-01-11T00:00:00Z,2022-03-17T00:00:00Z,26,158,2022-04-15T14:37:12Z,,88,0.2270,false,true,427308.81,-385710.14,-0.4744,827,-637,-0.4351,427308.81,-385710.14,-0.4744,,,,,https://stellaswap.com
coinflex,CoinFLEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/coinflex.jpg,A,trades,true,2019-04-02T00:00:00Z,2019-04-02T00:00:00Z,2020-02-10T00:00:00Z,143,62,2022-04-15T14:39:26.653Z,USD,89,0.3077,true,false,413225.66,-432120.25,-0.5112,236166,51230,0.2770,247761.00,-526942.99,-0.6802,165464.66,94822.75,1.3423,Seychelles,https://coinflex.com/
sushiswap_moonriver,SushiSwap (Moonriver),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-08-31T00:00:00Z,2021-08-31T00:00:00Z,2022-03-02T00:00:00Z,53,63,2022-04-15T14:28:30Z,,90,0.4468,false,true,346759.25,-367740.59,-0.5147,1002,-286,-0.2220,346759.25,-367740.59,-0.5147,,,,,https://sushi.com
mimo,Mimo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/mimo.jpg,A,trades,true,2021-06-22T00:00:00Z,2021-06-22T00:00:00Z,2021-10-27T00:00:00Z,84,380,2022-04-15T14:37:05Z,,91,0.1006,false,true,255406.56,66465.67,0.3518,3479,782,0.2900,255406.56,66465.67,0.3518,,,,,https://mimo.finance
swapr_gnosis,Swapr (Gnosis),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/swapr_arbitrum.jpg,A,trades,true,2021-03-12T00:00:00Z,2021-03-12T00:00:00Z,2022-03-01T00:00:00Z,49,144,2022-04-15T14:33:15Z,,92,0.3902,false,true,207111.53,-4732.30,-0.0223,1495,323,0.2756,207111.53,-4732.30,-0.0223,,,,,https://swapr.eth.link/#/swap?chainId=100
dfx_polygon,DFX (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/dfx.jpg,A,trades,false,2021-07-21T00:00:00Z,2021-07-21T00:00:00Z,,5,0,2022-04-15T13:59:04Z,,93,0.2250,false,true,202812.00,86169.55,0.7387,65,-47,-0.4196,202812.00,86169.55,0.7387,,,,,https://dfx.finance
1inchv2,1inch Liquidity Protocol (Ethereum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/1inchv2.jpg,A,trades,false,2021-01-07T00:00:00Z,2021-01-07T00:00:00Z,,245,28,2022-04-15T14:37:41Z,,94,0.4059,false,true,171880.11,64407.68,0.5993,79,14,0.2154,171880.11,64407.68,0.5993,,,,,https://1inch.io
tethys,Tethys Finance,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/tethys.png,A,trades,true,2021-12-17T00:00:00Z,2021-12-17T00:00:00Z,2022-01-20T00:00:00Z,24,1333,2022-04-15T14:35:32Z,,95,0.2864,false,true,168694.83,-82185.71,-0.3276,167,-175,-0.5117,168694.83,-82185.71,-0.3276,,,,,https://tethys.finance/
morpheus_swap,Morpheus Swap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/morpheus_swap.jpg,A,trades,true,2021-11-05T00:00:00Z,2021-11-05T00:00:00Z,2022-02-28T00:00:00Z,9,70,2022-04-15T14:39:57Z,,96,0.0855,false,true,146677.15,-48935.68,-0.2502,592,-25,-0.0405,146677.15,-48935.68,-0.2502,,,,,https://morpheusswap.finance/
